                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3508,                 4.4786,                 1.6909,                0.00231,                0.15331,                0.04399,                0.02497,                 1.9522,                 4.3982,                 1.4148,               8.75e-05,               8.75e-05,               8.75e-05
                      2,                  1.807,                 3.7742,                 1.3659,                0.00758,                0.41612,                0.09513,                0.05695,                  2.109,                 4.1596,                 1.4105,             0.00018379,             0.00018379,             0.00018379
                      3,                 1.7288,                 3.0264,                 1.2512,                0.00623,                 0.4816,                0.13341,                 0.0724,                 1.9422,                 3.9834,                 1.2993,             0.00027612,             0.00027612,             0.00027612
                      4,                   1.67,                 2.6819,                 1.2119,                0.01014,                0.72294,                0.17175,                0.10031,                 1.7204,                 3.7288,                 1.1998,             0.00036448,             0.00036448,             0.00036448
                      5,                 1.6401,                 2.3914,                 1.2189,                0.00887,                0.61419,                 0.1763,                0.11379,                 1.7393,                 3.7736,                  1.252,             0.00044889,             0.00044889,             0.00044889
                      6,                  1.668,                 2.2928,                 1.1835,                0.00736,                 0.6408,                 0.3015,                0.17416,                 1.6722,                 3.6335,                 1.2041,             0.00052934,             0.00052934,             0.00052934
                      7,                 1.5696,                 2.1345,                 1.1462,                      1,                0.03834,                  0.366,                0.20799,                 1.6896,                 3.4912,                 1.1934,             0.00060583,             0.00060583,             0.00060583
                      8,                 1.5606,                 1.9259,                 1.1511,                0.98014,                  0.096,                0.39048,                0.22044,                 1.7096,                 3.3375,                 1.2225,             0.00067835,             0.00067835,             0.00067835
                      9,                 1.5863,                 1.9924,                 1.1635,                0.87376,                0.10238,                0.37966,                 0.2113,                 1.7931,                 3.3127,                 1.2926,             0.00074692,             0.00074692,             0.00074692
                     10,                 1.6223,                 1.9026,                  1.158,                0.79224,                0.11921,                0.43425,                0.23815,                  1.886,                 3.3208,                 1.2931,             0.00081153,             0.00081153,             0.00081153
                     11,                 1.5392,                 1.8272,                 1.1299,                0.68083,                0.42463,                0.56258,                0.28759,                 1.8866,                 2.6812,                 1.4029,             0.00087218,             0.00087218,             0.00087218
                     12,                 1.5075,                 1.7737,                  1.151,                0.42182,                0.16262,                0.48964,                0.25382,                 1.8102,                 2.8627,                  1.381,             0.00092886,             0.00092886,             0.00092886
                     13,                 1.5363,                 1.7997,                 1.1541,                0.55844,                0.41369,                0.50322,                0.27416,                  1.819,                 2.5789,                 1.3807,               0.000953,               0.000953,               0.000953
                     14,                 1.4721,                 1.6961,                 1.1366,                0.70798,                0.52764,                 0.5295,                0.27917,                 1.9284,                 2.2309,                 1.3331,               0.000953,               0.000953,               0.000953
                     15,                 1.4276,                  1.722,                 1.1271,                0.74421,                0.54601,                 0.5517,                0.29415,                 1.8605,                 2.1897,                 1.2996,             0.00092825,             0.00092825,             0.00092825
                     16,                 1.3982,                 1.5883,                 1.1125,                0.75676,                0.53124,                 0.5727,                0.31297,                 1.7948,                 2.0796,                 1.3076,              0.0009035,              0.0009035,              0.0009035
                     17,                   1.43,                 1.5587,                 1.1012,                0.81733,                0.59419,                0.65158,                0.34741,                 1.8095,                  1.822,                 1.3207,             0.00087875,             0.00087875,             0.00087875
                     18,                 1.3738,                 1.4352,                 1.0868,                0.70883,                0.59574,                0.67594,                0.38653,                 1.7845,                 1.8028,                 1.2835,               0.000854,               0.000854,               0.000854
