                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4741,                 3.2617,                 1.2273,                0.05983,                0.29221,                0.15561,                0.10061,                 1.4193,                 38.167,                 1.1923,             0.00034441,             0.00034441,             0.00034441
                      2,                 1.2315,                 1.9423,                 1.1345,                0.38043,                0.53849,                0.47377,                 0.2789,                 1.3501,                 2.2786,                 1.3821,             0.00069531,             0.00069531,             0.00069531
                      3,                 1.2614,                 1.7468,                 1.2256,                0.23289,                0.34408,                0.20664,                0.12278,                 1.5079,                 3.3573,                 1.5852,              0.0010415,              0.0010415,              0.0010415
                      4,                 1.2216,                 1.5949,                 1.1813,                0.39226,                0.36113,                0.32488,                0.15176,                 1.7627,                 5.9835,                 1.8409,               0.001089,               0.001089,               0.001089
                      5,                 1.2465,                  1.358,                 1.2238,                0.73286,                 0.5576,                0.59573,                0.36153,                 1.2537,                 1.4514,                 1.4358,              0.0010817,              0.0010817,              0.0010817
                      6,                 1.1824,                 1.2858,                 1.2101,                 0.4363,                0.56255,                 0.5261,                0.32868,                 1.2615,                 1.9148,                 1.4354,              0.0010743,              0.0010743,              0.0010743
                      7,                 1.2123,                 1.1665,                 1.2121,                0.56545,                0.56638,                0.57701,                0.34474,                 1.3538,                 1.6174,                  1.458,               0.001067,               0.001067,               0.001067
                      8,                 1.1694,                 1.1858,                 1.1884,                0.56229,                0.51384,                0.57415,                0.36606,                 1.2694,                 1.8985,                 1.4157,              0.0010597,              0.0010597,              0.0010597
                      9,                 1.1481,                 1.1401,                 1.1754,                0.56406,                 0.6532,                0.61659,                0.39173,                 1.2388,                 1.1807,                 1.3643,              0.0010523,              0.0010523,              0.0010523
                     10,                 1.1695,                 1.1357,                 1.2069,                 0.5003,                0.73463,                 0.6004,                0.39101,                 1.2141,                 1.1913,                 1.3265,               0.001045,               0.001045,               0.001045
                     11,                 1.1206,                 1.1317,                 1.1518,                 0.5011,                0.60209,                0.61337,                0.40674,                 1.2254,                 1.1677,                 1.3299,              0.0010377,              0.0010377,              0.0010377
                     12,                 1.1165,                 1.0817,                   1.13,                0.50993,                0.72091,                0.61246,                0.39963,                 1.2498,                 1.1981,                 1.3484,              0.0010303,              0.0010303,              0.0010303
                     13,                 1.0728,                 1.0511,                 1.1286,                 0.5154,                0.60874,                0.60032,                0.42591,                 1.1418,                 1.2326,                 1.2572,               0.001023,               0.001023,               0.001023
                     14,                 1.0863,                 1.0038,                 1.1504,                0.65671,                0.52117,                 0.6286,                0.40803,                 1.1945,                 1.1913,                 1.3411,              0.0010157,              0.0010157,              0.0010157
                     15,                 1.0777,                0.99136,                   1.12,                0.54244,                0.71973,                 0.6445,                0.42799,                 1.1738,                 1.1796,                  1.307,              0.0010083,              0.0010083,              0.0010083
                     16,                 1.0574,                0.97858,                 1.1393,                0.66054,                0.58892,                 0.6758,                0.46186,                 1.0829,                 1.2258,                 1.2753,               0.001001,               0.001001,               0.001001
                     17,                 1.0211,                0.89317,                  1.106,                0.65031,                0.66793,                0.67517,                0.46438,                 1.0952,                0.98785,                 1.2623,             0.00099368,             0.00099368,             0.00099368
                     18,                 1.0206,                0.90553,                 1.1006,                0.55866,                0.64979,                0.64134,                0.42035,                 1.1762,                 1.0055,                 1.2749,             0.00098635,             0.00098635,             0.00098635
                     19,                 1.0234,                0.91379,                 1.1084,                0.49869,                0.67545,                0.60733,                0.40001,                 1.2692,                  1.202,                 1.3109,             0.00097901,             0.00097901,             0.00097901
